kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag,rho_p,Pmin_day,planet_type,is_habitable
10797460,K00752.01,2,1.0,9.48803557,2.26,793.0,93.59,5455.0,0.927,4.467,15.347,3.0,0.30310889132455354,intermediate,False
10797460,K00752.02,2,0.969,54.4183827,2.83,443.0,9.11,5455.0,0.927,4.467,15.347,3.0,0.30310889132455354,intermediate,False
10854555,K00755.01,2,1.0,2.525591777,2.75,1406.0,926.16,6031.0,1.046,4.438,15.509,3.0,0.30310889132455354,intermediate,False
10872983,K00756.01,2,1.0,11.09432054,3.9,835.0,114.81,6046.0,0.972,4.486,15.714,1.6,0.4150489428970998,neptune_like,False
10872983,K00756.02,2,1.0,4.13443512,2.77,1160.0,427.65,6046.0,0.972,4.486,15.714,3.0,0.30310889132455354,intermediate,False
10872983,K00756.03,2,0.992,2.56658897,1.59,1360.0,807.74,6046.0,0.972,4.486,15.714,5.5,0.22386075217339096,rocky,False
10910878,K00757.01,2,1.0,16.06864674,5.76,600.0,30.75,5031.0,0.848,4.485,15.841,1.6,0.4150489428970998,neptune_like,False
11446443,K00001.01,2,0.811,2.470613377,13.04,1339.0,761.46,5820.0,0.964,4.457,11.338,1.0,0.525,gas_giant,False
10666592,K00002.01,2,1.0,2.204735417,16.1,2048.0,4148.92,6440.0,1.952,4.019,10.463,1.0,0.525,gas_giant,False
6922244,K00010.01,2,0.998,3.522498429,14.59,1521.0,1264.67,6225.0,1.451,4.169,13.563,1.0,0.525,gas_giant,False
10984090,K00112.02,2,1.0,3.709214104,1.16,1206.0,500.46,5833.0,1.022,4.407,12.772,5.5,0.22386075217339096,rocky,False
10526549,K00746.01,2,1.0,9.27358173,2.47,649.0,41.85,4856.0,0.696,4.583,15.302,3.0,0.30310889132455354,intermediate,False
10583066,K00747.01,2,1.0,6.02930329,2.85,678.0,50.04,4537.0,0.672,4.648,15.784,3.0,0.30310889132455354,intermediate,False
10601284,K00749.01,2,1.0,5.349553819,2.55,919.0,168.99,5185.0,0.91,4.44,15.416,3.0,0.30310889132455354,intermediate,False
10601284,K00749.02,2,0.98,3.94105221,1.7,1018.0,253.15,5185.0,0.91,4.44,15.416,3.0,0.30310889132455354,intermediate,False
10601284,K00749.03,2,0.971,8.10904807,1.3,800.0,97.03,5185.0,0.91,4.44,15.416,5.5,0.22386075217339096,rocky,False
10662202,K00750.01,2,1.0,21.67699193,2.95,530.0,18.64,4954.0,0.828,4.5,15.377,3.0,0.30310889132455354,intermediate,False
10682541,K00751.01,2,1.0,4.99677968,2.78,917.0,166.95,5339.0,0.847,4.552,15.861,3.0,0.30310889132455354,intermediate,False
11460018,K00769.01,2,1.0,4.280963604,2.3,1012.0,247.87,5644.0,0.831,4.564,15.356,3.0,0.30310889132455354,intermediate,False
11507101,K00773.01,2,1.0,38.3775486,2.82,529.0,18.53,5481.0,1.036,4.369,15.172,3.0,0.30310889132455354,intermediate,False
10910878,K00757.02,2,0.992,41.19725502,3.86,439.0,8.76,5031.0,0.848,4.485,15.841,1.6,0.4150489428970998,neptune_like,False
10910878,K00757.03,2,1.0,6.252962249,2.65,823.0,108.3,5031.0,0.848,4.485,15.841,3.0,0.30310889132455354,intermediate,False
10987985,K00758.01,2,1.0,16.01308419,3.1,593.0,29.31,5015.0,0.826,4.499,15.39,1.6,0.4150489428970998,neptune_like,False
11018648,K00759.01,2,1.0,32.62876672,3.36,506.0,15.55,5586.0,0.798,4.56,15.082,1.6,0.4150489428970998,neptune_like,False
11018648,K00759.02,2,0.978,91.7732862,2.12,359.0,3.92,5586.0,0.798,4.56,15.082,3.0,0.30310889132455354,intermediate,False
11138155,K00760.01,2,1.0,4.959319244,12.21,1103.0,349.4,5712.0,1.082,4.359,15.263,1.0,0.525,gas_giant,False
11153539,K00762.01,2,1.0,4.49876511,2.1,1133.0,389.62,6075.0,0.969,4.486,15.395,3.0,0.30310889132455354,intermediate,False
9579641,K00115.01,2,1.0,5.412203927,2.94,1093.0,337.68,5779.0,1.087,4.339,12.791,3.0,0.30310889132455354,intermediate,False
11304958,K00764.01,2,0.998,41.43958662,5.5,516.0,16.72,5468.0,1.046,4.367,15.4,1.6,0.4150489428970998,neptune_like,False
11391957,K00765.01,2,1.0,8.35389523,2.52,790.0,91.9,5592.0,0.787,4.582,15.317,3.0,0.30310889132455354,intermediate,False
11403044,K00766.01,2,1.0,4.125543472,4.43,1243.0,565.35,6174.0,1.103,4.417,15.506,1.6,0.4150489428970998,neptune_like,False
11414511,K00767.01,2,1.0,2.816504904,12.21,1219.0,521.13,5532.0,0.955,4.452,15.052,1.0,0.525,gas_giant,False
12110942,K00786.01,2,1.0,3.689920099,1.89,1147.0,408.99,5880.0,0.917,4.518,15.242,3.0,0.30310889132455354,intermediate,False
12366084,K00787.01,2,1.0,4.431238488,3.25,1104.0,351.23,5714.0,1.015,4.428,15.367,1.6,0.4150489428970998,neptune_like,False
12366084,K00787.02,2,1.0,11.37936986,3.95,806.0,99.68,5714.0,1.015,4.428,15.367,1.6,0.4150489428970998,neptune_like,False
12404086,K00788.01,2,1.0,26.39432897,3.07,489.0,13.49,5129.0,0.763,4.595,15.234,1.6,0.4150489428970998,neptune_like,False
8395660,K00116.01,2,1.0,13.57078281,2.64,785.0,89.61,5854.0,1.012,4.406,12.882,3.0,0.30310889132455354,intermediate,False
